ADDRESS_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,CRASHDATE,CRASHSEVERITY,CRASHSEVERITYID
3XX ROSEMONT AV,39.098051,-84.580116,EAST PRICE HILL,WEST PRICE HILL,01/01/2020 12:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
X W NORWOOD LATERAL,39.171165,-84.468723,BONDHILL,BOND HILL,01/01/2020 12:10:00 AM,4 - INJURY POSSIBLE,201904
5XX ELBERON AV,39.102315,-84.565805,EAST PRICE HILL,EAST PRICE HILL,01/01/2020 12:15:00 AM,5 - PROPERTY DAMAGE ONLY,201905
22XX W NORTH BEND RD,39.200355,-84.563561,COLLEGE  HILL,COLLEGE HILL,01/01/2020 12:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
22XX W NORTH BEND RD,39.200745,-84.564221,COLLEGE  HILL,COLLEGE HILL,01/01/2020 12:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
1XX E 2ND ST,39.054471,-84.302811,N/A,N/A,01/01/2020 01:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
1XX E 2ND ST,39.055571,-84.304401,N/A,N/A,01/01/2020 01:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
4XX VINE ST,39.100371,-84.512201,C. B. D. / RIVERFRONT,DOWNTOWN,01/01/2020 01:30:00 AM,3 - MINOR INJURY SUSPECTED,201903
4XX VINE ST,39.100361,-84.512651,C. B. D. / RIVERFRONT,DOWNTOWN,01/01/2020 01:30:00 AM,3 - MINOR INJURY SUSPECTED,201903
4XX VINE ST,39.100511,-84.513571,C. B. D. / RIVERFRONT,DOWNTOWN,01/01/2020 01:30:00 AM,3 - MINOR INJURY SUSPECTED,201903
12XX ELM ST,39.109316,-84.519141,OVER-THE-RHINE,OVER-THE-RHINE,01/01/2020 01:30:00 AM,5 - PROPERTY DAMAGE ONLY,201905
12XX ELM ST,39.109266,-84.519091,OVER-THE-RHINE,OVER-THE-RHINE,01/01/2020 01:30:00 AM,5 - PROPERTY DAMAGE ONLY,201905
23XX VINE ST,39.127179,-84.512611,MOUNT  AUBURN,MT. AUBURN,01/01/2020 03:08:00 AM,5 - PROPERTY DAMAGE ONLY,201905
23XX LAWNDALE AV,39.176866,-84.437486,PLEASANT RIDGE,PLEASANT RIDGE,01/01/2020 03:18:00 AM,5 - PROPERTY DAMAGE ONLY,201905
13XX MAIN ST,39.110031,-84.512501,OVER-THE-RHINE,OVER-THE-RHINE,01/01/2020 03:30:00 AM,5 - PROPERTY DAMAGE ONLY,201905
26XX BURNET AV,39.129335,-84.501003,WALNUT HILLS,AVONDALE,01/01/2020 05:37:00 AM,5 - PROPERTY DAMAGE ONLY,201905
26XX BURNET AV,39.128655,-84.501953,WALNUT HILLS,AVONDALE,01/01/2020 05:37:00 AM,5 - PROPERTY DAMAGE ONLY,201905
23XX OHIO AV,39.124501,-84.516461,FAIRVIEW,CUF,01/01/2020 09:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
83XX ANTHONY WAYNE AV,39.215171,-84.461341,HARTWELL,HARTWELL,01/01/2020 09:38:00 AM,5 - PROPERTY DAMAGE ONLY,201905
83XX ANTHONY WAYNE AV,39.215561,-84.462271,HARTWELL,HARTWELL,01/01/2020 09:38:00 AM,5 - PROPERTY DAMAGE ONLY,201905
33XX MORRISON AV,39.145551,-84.527901,CLIFTON,CLIFTON,01/01/2020 10:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
11XX PURCELL AV,39.112571,-84.563685,EAST PRICE HILL,EAST PRICE HILL,01/01/2020 10:10:00 AM,5 - PROPERTY DAMAGE ONLY,201905
20XX FULTON DR,39.117741,-84.493321,WALNUT HILLS,WALNUT HILLS,01/01/2020 10:54:00 AM,5 - PROPERTY DAMAGE ONLY,201905
5XX FREEMAN AVE,39.098771,-84.533776,QUEENSGATE,QUEENSGATE,01/01/2020 01:28:00 PM,5 - PROPERTY DAMAGE ONLY,201905
45XX BRINDLEY LN,39.172321,-84.547181,NORTHSIDE,NORTHSIDE,01/01/2020 01:55:00 PM,4 - INJURY POSSIBLE,201904
45XX BRINDLEY LN,39.171861,-84.546901,NORTHSIDE,NORTHSIDE,01/01/2020 01:55:00 PM,4 - INJURY POSSIBLE,201904
10XX W MCMILLAN ST,39.125488,-84.532289,CLIFTON/UNIVERSITY HEIGHTS,CUF,01/01/2020 02:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
10XX W MCMILLAN ST,39.126538,-84.531609,CLIFTON/UNIVERSITY HEIGHTS,CUF,01/01/2020 02:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
57XX HAMILTON AV,39.195986,-84.544956,COLLEGE  HILL,COLLEGE HILL,01/01/2020 02:44:00 PM,5 - PROPERTY DAMAGE ONLY,201905
57XX HAMILTON AV,39.196006,-84.546656,COLLEGE  HILL,COLLEGE HILL,01/01/2020 02:44:00 PM,5 - PROPERTY DAMAGE ONLY,201905
43XX SPRING GROVE AV,39.159971,-84.527955,SPRING GROVE VILLAGE,NORTHSIDE,01/01/2020 04:35:00 PM,5 - PROPERTY DAMAGE ONLY,201905
43XX SPRING GROVE AV,39.160701,-84.529155,SPRING GROVE VILLAGE,NORTHSIDE,01/01/2020 04:35:00 PM,5 - PROPERTY DAMAGE ONLY,201905
33XX MCHENRY AV,39.145211,-84.572321,WESTWOOD,WESTWOOD,01/01/2020 06:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
33XX MCHENRY AV,39.144901,-84.573951,WESTWOOD,WESTWOOD,01/01/2020 06:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX VINE ST,39.128043,-84.511971,MOUNT  AUBURN,MT. AUBURN,01/01/2020 08:15:00 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX VINE ST,39.126223,-84.511151,MOUNT  AUBURN,MT. AUBURN,01/01/2020 08:15:00 PM,5 - PROPERTY DAMAGE ONLY,201905
40XX PALOS ST,39.103351,-84.582471,WEST PRICE HILL,WEST PRICE HILL,01/01/2020 11:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
40XX PALOS ST,39.103821,-84.583751,WEST PRICE HILL,WEST PRICE HILL,01/01/2020 11:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
7XX TERRY ST,39.105261,-84.571781,EAST PRICE HILL,EAST PRICE HILL,01/02/2020 12:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
19XX W NORTH BEND RD,39.204163,-84.558021,COLLEGE  HILL,COLLEGE HILL,01/02/2020 12:00:00 AM,3 - MINOR INJURY SUSPECTED,201903
2XX E RONALD REAGAN HW,39.203116,-84.467682,HARTWELL,HARTWELL,01/02/2020 02:31:00 AM,5 - PROPERTY DAMAGE ONLY,201905
22XX MONTANA AV,39.156471,-84.569551,WESTWOOD,WESTWOOD,01/02/2020 06:50:00 AM,4 - INJURY POSSIBLE,201904
22XX MONTANA AV,39.156711,-84.567811,WESTWOOD,WESTWOOD,01/02/2020 06:50:00 AM,4 - INJURY POSSIBLE,201904
35XX COLUMBIA PY,39.115234,-84.437212,COLUMBIA / TUSCULUM,EAST END,01/02/2020 07:44:00 AM,5 - PROPERTY DAMAGE ONLY,201905
35XX COLUMBIA PY,39.116214,-84.437332,COLUMBIA / TUSCULUM,EAST END,01/02/2020 07:44:00 AM,5 - PROPERTY DAMAGE ONLY,201905
E I74 AT 17-9 MM,39.157692,-84.547542,NORTHSIDE,NORTHSIDE,01/02/2020 08:10:00 AM,4 - INJURY POSSIBLE,201904
E I74 AT 17-9 MM,39.157312,-84.547672,NORTHSIDE,NORTHSIDE,01/02/2020 08:10:00 AM,4 - INJURY POSSIBLE,201904
E I74 AT 17-9 MM,39.158072,-84.547382,NORTHSIDE,NORTHSIDE,01/02/2020 08:10:00 AM,4 - INJURY POSSIBLE,201904
X E KING DR,39.135366,-84.509137,CORRYVILLE,CORRYVILLE,01/02/2020 09:06:00 AM,5 - PROPERTY DAMAGE ONLY,201905
X E KING DR,39.136256,-84.509417,CORRYVILLE,CORRYVILLE,01/02/2020 09:06:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 4-7 MM,39.155189,-84.538105,CLIFTON,CLIFTON,01/02/2020 10:46:00 AM,3 - MINOR INJURY SUSPECTED,201903
S I75 AT 4-7 MM,39.156349,-84.536805,CLIFTON,CLIFTON,01/02/2020 10:46:00 AM,3 - MINOR INJURY SUSPECTED,201903
S I75 AT 4-7 MM,39.155339,-84.537875,CLIFTON,CLIFTON,01/02/2020 10:46:00 AM,3 - MINOR INJURY SUSPECTED,201903
35XX GLEN EDGE LN,39.177631,-84.416671,PLEASANT RIDGE,PLEASANT RIDGE,01/02/2020 11:05:00 AM,5 - PROPERTY DAMAGE ONLY,201905
XX WILLIAM HOWARD TAFT RD,39.128722,-84.510531,CORRYVILLE,CORRYVILLE,01/02/2020 12:35:00 PM,5 - PROPERTY DAMAGE ONLY,201905
XX WILLIAM HOWARD TAFT RD,39.128362,-84.511031,CORRYVILLE,CORRYVILLE,01/02/2020 12:35:00 PM,5 - PROPERTY DAMAGE ONLY,201905
37XX VINE ST,39.1549,-84.505945,CLIFTON,CLIFTON,01/02/2020 01:44:00 PM,3 - MINOR INJURY SUSPECTED,201903
37XX VINE ST,39.15474,-84.505825,CLIFTON,CLIFTON,01/02/2020 01:44:00 PM,3 - MINOR INJURY SUSPECTED,201903
61XX GLENWAY AV,39.142294,-84.619985,WESTWOOD,WESTWOOD,01/02/2020 02:05:00 PM,4 - INJURY POSSIBLE,201904
61XX GLENWAY AV,39.143404,-84.620145,WESTWOOD,WESTWOOD,01/02/2020 02:05:00 PM,4 - INJURY POSSIBLE,201904
35XX WERK RD,39.142355,-84.619956,WESTWOOD,WESTWOOD,01/02/2020 02:25:00 PM,5 - PROPERTY DAMAGE ONLY,201905
35XX WERK RD,39.142555,-84.618706,WESTWOOD,WESTWOOD,01/02/2020 02:25:00 PM,5 - PROPERTY DAMAGE ONLY,201905
32XX HARRISON AV,39.153496,-84.602301,WESTWOOD,WESTWOOD,01/02/2020 02:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
32XX HARRISON AV,39.153206,-84.603311,WESTWOOD,WESTWOOD,01/02/2020 02:30:00 PM,5 - PROPERTY DAMAGE ONLY,201905
20XX LINN ST,39.118171,-84.526475,WEST  END,WEST END,01/02/2020 02:47:00 PM,5 - PROPERTY DAMAGE ONLY,201905
20XX LINN ST,39.117871,-84.526435,WEST  END,WEST END,01/02/2020 02:47:00 PM,5 - PROPERTY DAMAGE ONLY,201905
37XX CLIFTON AV,39.148681,-84.518166,CLIFTON,CLIFTON,01/02/2020 03:10:00 PM,3 - MINOR INJURY SUSPECTED,201903
37XX CLIFTON AV,39.149731,-84.519416,CLIFTON,CLIFTON,01/02/2020 03:10:00 PM,3 - MINOR INJURY SUSPECTED,201903
XX W 5TH ST,39.100053,-84.515063,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 03:24:00 PM,4 - INJURY POSSIBLE,201904
XX W 5TH ST,39.101273,-84.514683,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 03:24:00 PM,4 - INJURY POSSIBLE,201904
XX W 5TH ST,39.100163,-84.514053,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 03:24:00 PM,4 - INJURY POSSIBLE,201904
16XX HARRISON AV,39.126057,-84.548411,SOUTH  FAIRMOUNT,SOUTH FAIRMOUNT,01/02/2020 03:32:00 PM,5 - PROPERTY DAMAGE ONLY,201905
16XX HARRISON AV,39.126087,-84.547441,SOUTH  FAIRMOUNT,SOUTH FAIRMOUNT,01/02/2020 03:32:00 PM,5 - PROPERTY DAMAGE ONLY,201905
34XX W 8TH ST,39.104641,-84.565871,EAST PRICE HILL,EAST PRICE HILL,01/02/2020 04:17:00 PM,5 - PROPERTY DAMAGE ONLY,201905
34XX W 8TH ST,39.105071,-84.566411,EAST PRICE HILL,EAST PRICE HILL,01/02/2020 04:17:00 PM,5 - PROPERTY DAMAGE ONLY,201905
56XX FOLCHI DR,39.193624,-84.538395,COLLEGE  HILL,COLLEGE HILL,01/02/2020 04:40:00 PM,5 - PROPERTY DAMAGE ONLY,201905
4XX SYCAMORE ST,39.099957,-84.507071,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 05:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 1-9 MM,39.102677,-84.506428,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 05:22:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 1-9 MM,39.102827,-84.505508,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 05:22:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 1-9 MM,39.103177,-84.505858,C. B. D. / RIVERFRONT,DOWNTOWN,01/02/2020 05:22:00 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX BEEKMAN ST,39.125861,-84.545031,SOUTH  FAIRMOUNT,NORTH FAIRMOUNT,01/02/2020 05:26:00 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX BEEKMAN ST,39.126101,-84.544891,SOUTH  FAIRMOUNT,NORTH FAIRMOUNT,01/02/2020 05:26:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I471 AT 5-4,39.103461,-84.501385,MOUNT  ADAMS,MT. ADAMS,01/02/2020 05:55:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I471 AT 5-4,39.104651,-84.501925,MOUNT  ADAMS,MT. ADAMS,01/02/2020 05:55:00 PM,5 - PROPERTY DAMAGE ONLY,201905
56XX RIDGE AV,39.174471,-84.426411,PLEASANT RIDGE,PLEASANT RIDGE,01/02/2020 06:02:00 PM,5 - PROPERTY DAMAGE ONLY,201905
56XX RIDGE AV,39.175181,-84.426801,PLEASANT RIDGE,PLEASANT RIDGE,01/02/2020 06:02:00 PM,5 - PROPERTY DAMAGE ONLY,201905
26XX JESSUP RD,39.197491,-84.578231,MOUNT AIRY,MT. AIRY,01/02/2020 06:04:00 PM,5 - PROPERTY DAMAGE ONLY,201905
26XX JESSUP RD,39.197291,-84.577611,MOUNT AIRY,MT. AIRY,01/02/2020 06:04:00 PM,5 - PROPERTY DAMAGE ONLY,201905
5XX E 13TH ST,39.111331,-84.504351,C. B. D. / RIVERFRONT,PENDLETON,01/02/2020 06:34:00 PM,5 - PROPERTY DAMAGE ONLY,201905
5XX E 13TH ST,39.110701,-84.504191,C. B. D. / RIVERFRONT,PENDLETON,01/02/2020 06:34:00 PM,5 - PROPERTY DAMAGE ONLY,201905
16XX SYCAMORE ST,39.112404,-84.511475,MOUNT  AUBURN,MT. AUBURN,01/02/2020 06:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
16XX SYCAMORE ST,39.112064,-84.510235,MOUNT  AUBURN,MT. AUBURN,01/02/2020 06:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
N I75 AT 0-1 MM,39.093606,-84.522492,QUEENSGATE,QUEENSGATE,01/02/2020 06:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
N I75 AT 0-1 MM,39.094456,-84.522382,QUEENSGATE,QUEENSGATE,01/02/2020 06:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
58XX MADISON RD,39.161082,-84.392705,MADISONVILLE,MADISONVILLE,01/02/2020 07:43:00 PM,5 - PROPERTY DAMAGE ONLY,201905
58XX MADISON RD,39.161032,-84.392685,MADISONVILLE,MADISONVILLE,01/02/2020 07:43:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX CENTRAL PY,39.123539,-84.532543,CLIFTON/UNIVERSITY HEIGHTS,WEST END,01/02/2020 08:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX CENTRAL PY,39.122999,-84.532783,CLIFTON/UNIVERSITY HEIGHTS,WEST END,01/02/2020 08:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX CENTRAL PY,39.122999,-84.533473,CLIFTON/UNIVERSITY HEIGHTS,WEST END,01/02/2020 08:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX CENTRAL PY,39.123189,-84.533553,CLIFTON/UNIVERSITY HEIGHTS,WEST END,01/02/2020 08:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
31XX RIVERSIDE DR,39.121051,-84.444481,EAST  END,EAST END,01/02/2020 08:05:00 PM,5 - PROPERTY DAMAGE ONLY,201905
31XX RIVERSIDE DR,39.120911,-84.444621,EAST  END,EAST END,01/02/2020 08:05:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 8-9 MM,39.192261,-84.477629,CARTHAGE,CARTHAGE,01/02/2020 08:50:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 8-9 MM,39.191391,-84.478589,CARTHAGE,CARTHAGE,01/02/2020 08:50:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 8-9 MM,39.192281,-84.478409,CARTHAGE,CARTHAGE,01/02/2020 08:50:00 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX COLUMBIA PY,39.125465,-84.463482,EAST  END,HYDE PARK,01/02/2020 08:50:00 PM,4 - INJURY POSSIBLE,201904
24XX COLUMBIA PY,39.124965,-84.463482,EAST  END,HYDE PARK,01/02/2020 08:50:00 PM,4 - INJURY POSSIBLE,201904
I7X EX AT 5.5 MM,39.159371,-84.524488,CLIFTON,CLIFTON,01/02/2020 09:00:00 PM,5 - PROPERTY DAMAGE ONLY,201905
32XX GLENHILLS WY,39.129961,-84.606809,WESTWOOD,WESTWOOD,01/02/2020 09:22:00 PM,5 - PROPERTY DAMAGE ONLY,201905
32XX GLENHILLS WY,39.128581,-84.605609,WESTWOOD,WESTWOOD,01/02/2020 09:22:00 PM,5 - PROPERTY DAMAGE ONLY,201905
25XX WARSAW AV,39.109081,-84.556101,EAST PRICE HILL,EAST PRICE HILL,01/02/2020 09:28:00 PM,5 - PROPERTY DAMAGE ONLY,201905
16XX COLUMBIA PY,39.116786,-84.48647,MOUNT  ADAMS,WALNUT HILLS,01/02/2020 09:31:39 PM,5 - PROPERTY DAMAGE ONLY,201905
24XX AUBURN AV,39.127376,-84.508703,MOUNT  AUBURN,MT. AUBURN,01/02/2020 09:40:00 PM,3 - MINOR INJURY SUSPECTED,201903
42XX COLERAIN AV,39.163248,-84.552561,NORTHSIDE,NORTHSIDE,01/02/2020 11:38:00 PM,5 - PROPERTY DAMAGE ONLY,201905
42XX COLERAIN AV,39.163258,-84.551511,NORTHSIDE,NORTHSIDE,01/02/2020 11:38:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX BOUDINOT AV,39.128603,-84.605238,WEST PRICE HILL,WEST PRICE HILL,01/02/2020 11:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
23XX BOUDINOT AV,39.127293,-84.605558,WEST PRICE HILL,WEST PRICE HILL,01/02/2020 11:45:00 PM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 0.9 MM,39.097719,-84.511545,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 12:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 0.9 MM,39.097889,-84.510555,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 12:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
20XX RAVINE ST,39.121012,-84.526254,OVER-THE-RHINE,WEST END,01/03/2020 12:16:00 AM,3 - MINOR INJURY SUSPECTED,201903
20XX RAVINE ST,39.120542,-84.526304,OVER-THE-RHINE,WEST END,01/03/2020 12:16:00 AM,3 - MINOR INJURY SUSPECTED,201903
20XX RAVINE ST,39.120612,-84.525774,OVER-THE-RHINE,WEST END,01/03/2020 12:16:00 AM,3 - MINOR INJURY SUSPECTED,201903
19XX WESTWOOD NORTHERN BV,39.141556,-84.553208,ENGLISH  WOODS,ENGLISH WOODS,01/03/2020 12:58:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
5XX W MCMICKEN AV,39.122051,-84.531231,OVER-THE-RHINE,CUF,01/03/2020 02:07:00 AM,4 - INJURY POSSIBLE,201904
S I75 AT 8-9 MM,39.192101,-84.478129,CARTHAGE,CARTHAGE,01/03/2020 02:18:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
S I75 AT 8-9 MM,39.191411,-84.478129,CARTHAGE,CARTHAGE,01/03/2020 02:18:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
S I75 AT 8-9 MM,39.191461,-84.479229,CARTHAGE,CARTHAGE,01/03/2020 02:18:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
S I75 AT 8-9 MM,39.192321,-84.478089,CARTHAGE,CARTHAGE,01/03/2020 02:18:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
S I75 AT 8-9 MM,39.191441,-84.478099,CARTHAGE,CARTHAGE,01/03/2020 02:18:00 AM,2 - SERIOUS INJURY SUSPECTED,201902
25XX READING RD,39.127911,-84.499931,WALNUT HILLS,AVONDALE,01/03/2020 02:45:09 AM,4 - INJURY POSSIBLE,201904
25XX READING RD,39.128221,-84.500051,WALNUT HILLS,AVONDALE,01/03/2020 02:45:09 AM,4 - INJURY POSSIBLE,201904
25XX READING RD,39.127921,-84.500941,WALNUT HILLS,AVONDALE,01/03/2020 02:45:09 AM,4 - INJURY POSSIBLE,201904
25XX READING RD,39.128931,-84.499901,WALNUT HILLS,AVONDALE,01/03/2020 02:45:09 AM,4 - INJURY POSSIBLE,201904
S I71 AT I471,39.110474,-84.501421,MOUNT  ADAMS,MT. ADAMS,01/03/2020 05:40:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT I471,39.109214,-84.502551,MOUNT  ADAMS,MT. ADAMS,01/03/2020 05:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT I471,39.109104,-84.502661,MOUNT  ADAMS,MT. ADAMS,01/03/2020 05:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
5XX W KING DR,39.139906,-84.523431,CLIFTON,CLIFTON,01/03/2020 06:35:00 AM,5 - PROPERTY DAMAGE ONLY,201905
5XX W KING DR,39.139706,-84.524971,CLIFTON,CLIFTON,01/03/2020 06:35:00 AM,5 - PROPERTY DAMAGE ONLY,201905
17XX SYCAMORE ST,39.117046,-84.509571,MOUNT  AUBURN,MT. AUBURN,01/03/2020 06:51:00 AM,5 - PROPERTY DAMAGE ONLY,201905
28XX LINWOOD AV,39.135896,-84.437617,HYDE PARK,HYDE PARK,01/03/2020 07:20:00 AM,5 - PROPERTY DAMAGE ONLY,201905
28XX LINWOOD AV,39.136406,-84.437527,HYDE PARK,HYDE PARK,01/03/2020 07:20:00 AM,5 - PROPERTY DAMAGE ONLY,201905
N I75 AT 2-1 MM,39.118976,-84.534629,WEST  END,WEST END,01/03/2020 07:24:00 AM,5 - PROPERTY DAMAGE ONLY,201905
N I75 AT 2-1 MM,39.119446,-84.535449,WEST  END,WEST END,01/03/2020 07:24:00 AM,5 - PROPERTY DAMAGE ONLY,201905
3XX W COURT ST,39.105711,-84.515971,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:25:00 AM,5 - PROPERTY DAMAGE ONLY,201905
3XX W COURT ST,39.105501,-84.514681,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:25:00 AM,5 - PROPERTY DAMAGE ONLY,201905
N I71 AT 1-2 MM,39.102156,-84.501345,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:38:00 AM,5 - PROPERTY DAMAGE ONLY,201905
1XX E 7TH ST,39.104017,-84.511735,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:45:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 2-3,39.122145,-84.536335,QUEENSGATE,QUEENSGATE,01/03/2020 07:45:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 2-3,39.122765,-84.535055,QUEENSGATE,QUEENSGATE,01/03/2020 07:45:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 2-6 MM,39.119876,-84.500036,WALNUT HILLS,WALNUT HILLS,01/03/2020 07:47:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 2-6 MM,39.118966,-84.499436,WALNUT HILLS,WALNUT HILLS,01/03/2020 07:47:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 0-8 MM,39.097852,-84.512437,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 0-8 MM,39.098152,-84.512217,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 07:50:00 AM,5 - PROPERTY DAMAGE ONLY,201905
SB I75 AT 1-6,39.111816,-84.531688,WEST  END,QUEENSGATE,01/03/2020 08:15:36 AM,5 - PROPERTY DAMAGE ONLY,201905
SB I75 AT 1-6,39.111626,-84.532178,WEST  END,QUEENSGATE,01/03/2020 08:15:36 AM,5 - PROPERTY DAMAGE ONLY,201905
43XX RIDGE AV,39.154231,-84.422045,OAKLEY,OAKLEY,01/03/2020 08:52:31 AM,4 - INJURY POSSIBLE,201904
43XX RIDGE AV,39.155411,-84.423925,OAKLEY,OAKLEY,01/03/2020 08:52:31 AM,4 - INJURY POSSIBLE,201904
27XX GILBERT AV,39.130039,-84.487825,WALNUT HILLS,WALNUT HILLS,01/03/2020 08:54:00 AM,3 - MINOR INJURY SUSPECTED,201903
27XX GILBERT AV,39.129009,-84.488025,WALNUT HILLS,WALNUT HILLS,01/03/2020 08:54:00 AM,3 - MINOR INJURY SUSPECTED,201903
27XX GILBERT AV,39.128139,-84.489135,WALNUT HILLS,WALNUT HILLS,01/03/2020 08:54:00 AM,3 - MINOR INJURY SUSPECTED,201903
27XX GILBERT AV,39.129329,-84.489205,WALNUT HILLS,WALNUT HILLS,01/03/2020 08:54:00 AM,3 - MINOR INJURY SUSPECTED,201903
47XX SPRING GROVE AV,39.165571,-84.515741,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,01/03/2020 08:55:00 AM,5 - PROPERTY DAMAGE ONLY,201905
47XX SPRING GROVE AV,39.165551,-84.515201,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,01/03/2020 08:55:00 AM,5 - PROPERTY DAMAGE ONLY,201905
47XX SPRING GROVE AV,39.165791,-84.514541,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,01/03/2020 08:55:00 AM,5 - PROPERTY DAMAGE ONLY,201905
47XX SPRING GROVE AV,39.165991,-84.514361,SPRING GROVE VILLAGE,SPRING GROVE VILLAGE,01/03/2020 08:55:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 9-7 MM,39.195104,-84.473411,CARTHAGE,CARTHAGE,01/03/2020 09:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I75 AT 9-7 MM,39.196474,-84.473361,CARTHAGE,CARTHAGE,01/03/2020 09:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
49XX PADDOCK RD,39.175565,-84.477391,BONDHILL,BOND HILL,01/03/2020 09:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
49XX PADDOCK RD,39.175275,-84.478321,BONDHILL,BOND HILL,01/03/2020 09:00:00 AM,5 - PROPERTY DAMAGE ONLY,201905
N I71 AT 1-2 MM,39.100976,-84.502435,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 09:13:00 AM,5 - PROPERTY DAMAGE ONLY,201905
S I71 AT 1-2 MM,39.097742,-84.512547,C. B. D. / RIVERFRONT,DOWNTOWN,01/03/2020 09:17:00 AM,5 - PROPERTY DAMAGE ONLY,201905
30XX GLENMORE AV,39.138386,-84.614336,WESTWOOD,WESTWOOD,01/03/2020 09:20:00 AM,4 - INJURY POSSIBLE,201904
